Date,VIX,DXY,US10Y_US02Y_DIFF
2000-01-03,100.22000122070312,5.269999980926514,-17.661999225616455
2000-01-04,100.41000366210938,5.269999980926514,-20.52500009536743
2000-01-05,100.37999725341797,5.269999980926514,-19.810999870300293
2000-01-06,100.6500015258789,5.239999771118164,-19.180999755859375
2000-01-07,100.80000305175781,5.21999979019165,-15.215999126434326
2000-01-10,100.98999786376953,5.230000019073486,-15.15199899673462
2000-01-11,100.55999755859375,5.269999980926514,-15.835999965667725
2000-01-12,100.62000274658203,5.28000020980835,-16.14400005340576
2000-01-13,101.0,5.21999979019165,-15.091999053955078
2000-01-14,101.72000122070312,5.25,-12.986000061035156
2000-01-17,102.05000305175781,,
2000-01-18,101.86000061035156,5.230000019073486,-14.751999855041504
2000-01-19,101.76000213623047,5.349999904632568,-14.994999408721924
2000-01-20,101.36000061035156,5.300000190734863,-15.001999855041504
2000-01-21,101.76000213623047,5.300000190734863,-14.038999557495117
2000-01-24,102.19999694824219,5.329999923706055,-17.38599967956543
2000-01-25,102.41000366210938,5.400000095367432,-16.336000442504883
2000-01-26,102.44000244140625,5.409999847412109,-16.350000858306885
2000-01-27,103.16999816894531,5.409999847412109,-16.855000972747803
2000-01-28,104.4800033569336,5.46999979019165,-19.491999626159668
2000-01-31,105.12999725341797,5.53000020980835,-18.283000946044922
2000-02-01,104.91999816894531,5.550000190734863,-16.833000659942627
2000-02-02,104.79000091552734,5.5,-16.522000789642334
2000-02-03,103.80000305175781,5.429999828338623,-15.535000324249268
2000-02-04,104.29000091552734,5.489999771118164,-15.023000717163086
2000-02-07,104.63999938964844,5.46999979019165,-16.159000873565674
2000-02-08,104.22000122070312,5.519999980926514,-14.651000022888184
2000-02-09,103.68000030517578,5.489999771118164,-16.23099946975708
2000-02-10,104.12999725341797,5.5,-16.413999557495117
2000-02-11,104.19000244140625,5.480000019073486,-17.79900026321411
2000-02-14,104.72000122070312,5.460000038146973,-17.840999126434326
2000-02-15,104.69000244140625,5.579999923706055,-16.368000030517578
2000-02-16,104.27999877929688,5.550000190734863,-16.963000297546387
2000-02-17,104.2699966430664,5.570000171661377,-16.60100030899048
